Nombre del Producto;Lote;Proveedor;Clases de Peligro SGA PRINCIPAL;Palabra de Señal;Explosivo;Inflamable;Comburente;Gas Bajo Presión;Corrosivo;Toxicidad Aguda;Irritante;Toxicidad Crónica;Tóxico para Medio Ambiente;Peso Total del Bulk (gramos);Fecha Manufactura;Fecha Vencimiento;Línea de Mercado
ACTICIDE 45;MX-248194-2608;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;Si;Si;No;Si;100;15/08/2024;15/08/2026;INDUSTRIAL
ACTICIDE BW 20;MX-263741-2711;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;100;14/11/2025;14/11/2027;INDUSTRIAL
ACTICIDE CBM2;MX-257218-2602;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;100;07/05/2025;07/02/2026;INDUSTRIAL
ACTICIDE CBM2;MX-261857-2606;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;2800;15/09/2025;15/06/2026;INDUSTRIAL
ACTICIDE EPW;MX-261127-2608;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;Si;400;27/08/2025;27/08/2026;INDUSTRIAL
ACTICIDE HF;MX-241628-2508;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;Si;2100;19/02/2024;22/02/2026;INDUSTRIAL
ACTICIDE HF;MX-257851-2611;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;Si;Si;400;20/11/2024;20/11/2026;INDUSTRIAL
ACTICIDE IPS 20;MX-250986-2606;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;23/06/2025;23/06/2026;INDUSTRIAL
ACTICIDE LA 1206;MX-245898-2512;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;1700;20/06/2024;20/12/2025;INDUSTRIAL
ACTICIDE LA 1206;MX-256456-2610;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;08/04/2025;08/10/2026;INDUSTRIAL
ACTICIDE LA 1206;257810-2611;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;900;22/05/2025;22/11/2026;INDUSTRIAL
ACTICIDE LA 1206;MX-262978-2704;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;900;22/10/2025;22/04/2027;INDUSTRIAL
ACTICIDE LV 706;RP-0157023003-2510;THOR;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;Si;400;03/05/2024;25/10/2025;INDUSTRIAL
ACTICIDE MBS;MX-252316-2512;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;300;05/12/2024;05/12/2025;INDUSTRIAL
ACTICIDE MV;MX-256423-2610;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;300;10/04/2025;10/10/2026;INDUSTRIAL
ACTICIDE OF 1;MX-256426-2604;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;07/04/2025;07/04/2026;INDUSTRIAL
ACTICIDE RS;MX-257785-2705;THOR;Corrosivo;PELIGRO;No;No;No;No;Si;No;Si;No;Si;200;19/05/2025;19/05/2027;INDUSTRIAL
ACTICIDE ZPD1;RP-0183081002-2601;THOR;Corrosivo;ATENCIÓN;No;No;No;No;Si;No;Si;No;Si;200;13/01/2025;13/01/2026;INDUSTRIAL
ACTIWHITE LS 9808;27430998;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;450;13/12/2023;13/12/2025;COSMETICA
ADVANCED MOISTURE COMLEX NP;28031712;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;575;05/07/2024;04/07/2026;COSMETICA
AGNIQUE AMD 3L;29283701;BASF;Sin Riesgo;INERTE (no requiere);No;No;No;No;No;No;No;No;No;600;19/11/2025;19/11/2027;INDUSTRIAL
AH CARE L 65;29153277;BASF;Corrosivo;PELIGRO;No;No;No;No;Si;No;No;No;No;350;23/10/2025;16/04/2027;COSMETICA
ANASENSYL LS 9322;28491109;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;50;11/07/2024;11/07/2026;COSMETICA
ARBOCEL M 80;72813230809;JRS;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;01/08/2023;01/08/2026;FARMA
ARLYPON F;28338228;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;1100;22/05/2024;22/05/2026;COSMETICA
ARLYPON TT;29641145;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;Si;1200;26/08/2025;17/02/2027;COSMETICA
ASCORBIL FOSFATO DE SODIO;24182107;BASF;Sin Riesgo;ATENCIÓN;No;No;No;No;No;No;No;No;No;400;03/05/2024;03/05/2026;COSMETICA
ASEBIOL LS 2539 BT 2;27750061;BASF;Toxico;ATENCIÓN;No;No;No;No;No;No;Si;No;No;425;13/11/2023;12/11/2024;COSMETICA
